nino12,nino3,nino34,nino4
26.07,26.82,27.48,28.77
27.22,28.03,28.18,28.82
25.54,27.62,28.06,28.77
26.29,28.29,28.94,29.41
24.7,27.33,28.28,29.01
22.97,26.39,28.05,29.36
22.27,26.23,27.92,29.24
21.38,26.27,28.18,29.6
21.76,25.92,27.85,29.08
23.27,26.08,27.48,28.97
22.98,26.07,27.76,29
24.77,26.5,27.47,28.37
26.45,26.9,27.44,28.48
26.37,27.34,28.06,29.1
25.04,27.74,28.22,28.74
24.34,26.89,27.88,28.78
22.88,26.45,27.83,28.78
20.67,24.72,26.73,28.64
19.45,24.14,26.51,28.75
19.25,24,25.94,27.87
19.87,24.13,25.87,27.85
21.21,24.47,26.33,28.44
22.37,24.49,26.07,28.12
24.36,24.89,26.01,27.9
26.34,25.79,26.36,27.89
26.28,26.55,26.83,27.98
25.03,26.86,27.21,28.11
23.38,26.37,27.39,28.53
22.49,26.13,27.28,28.55
20.56,24.8,26.68,28.36
19.35,23.95,26.22,28.36
20.48,24.99,26.88,28.52
20.08,24.48,26.48,28.08
21.17,24.55,26.4,28.3
22.07,24.93,26.49,28.18
24.37,25.28,26.3,27.82
26.13,26.45,26.83,28.03
26.66,26.66,26.63,27.89
24.42,26.73,27.22,28.22
23.44,26.26,27.41,28.64
23.12,26.37,27.47,28.27
20.89,24.83,26.59,28.11
20.29,24.53,26.48,28.14
19.46,24.22,26.23,28.15
20.57,24.46,26.23,28.1
20.8,24.16,25.78,27.8
21.94,23.94,25.43,27.56
24.82,25.4,26.29,27.74
25.32,25.36,25.88,27.46
26.51,26.64,26.72,27.82
24.87,26.62,27.09,28.05
23.44,26.37,27.5,28.74
21.59,25.18,26.59,27.96
20.54,24.55,26.22,27.85
19.41,23.84,25.9,27.6
19.11,23.83,25.9,27.81
19.91,23.62,25.49,27.51
20.74,23.42,25.15,27.39
21.98,24.07,25.51,27.51
23.37,24.6,25.65,27.17
25.39,25.77,26.12,27.35
25.74,26.32,26.46,27.39
24.86,26.46,26.59,27.3
23.35,25.72,26.46,27.69
21.87,25.62,26.65,27.59
20.85,24.88,26.35,27.67
20.01,24.28,25.98,27.6
19.76,23.89,25.46,27.26
20.01,24.08,25.8,27.48
20.93,24.58,26.13,27.65
21.68,24.52,25.95,27.61
24,24.98,26.01,27.62
25.82,25.6,26.18,27.63
25.87,26.35,26.44,27.53
24.34,26.41,26.66,27.48
23.45,25.75,26.82,28.14
22.62,25.91,27.05,27.91
21.82,25.59,27.01,28.03
21.89,25.23,26.59,27.64
22.05,25.65,26.97,28.06
22.17,25.4,26.93,28.18
23.29,25.91,27.5,28.82
24.27,26.6,27.55,28.35
25.82,27.19,28.13,28.7
27.12,27.2,27.59,28.54
27.26,27.66,27.95,28.75
26.27,28,28.35,28.9
24.57,27.15,27.87,28.57
22.88,26.29,27.44,28.53
20.99,25.26,27.12,28.65
20.62,24.58,26.48,28.34
20.69,25.1,26.85,28.46
20.72,24.77,26.6,28.3
21.31,25.06,26.82,28.41
22.4,24.74,26.1,27.95
24.95,25.55,26.38,27.78
26.53,26.5,26.94,28.27
26.21,26.99,27.42,28.4
24.01,26.31,27,28.05
23.6,26.57,27.58,28.45
22.82,26.3,27.53,28.22
21.69,25.53,27.08,28.09
21.5,25.07,26.79,28.03
21.3,25.01,26.8,28.44
22.21,25.27,26.76,28.25
22.9,25.86,27.45,28.58
24.22,26.1,27.43,28.5
25.42,26.39,27.28,28.15
26.49,27.02,27.56,28.54
27.24,27.4,27.58,28.45
25.14,27.9,28.46,28.91
24.21,26.82,27.87,28.91
23.07,26.42,27.77,28.72
22.58,26.16,27.75,28.84
21.72,25.98,27.8,29.01
21.87,25.85,27.43,28.81
22.36,25.43,26.99,28.73
22.87,25.45,26.96,28.66
24.07,25.89,27.27,28.68
25.51,26.38,27.46,28.62
26.79,26.8,27.41,28.62
27.2,27.5,27.75,28.71
26.6,28.03,28.24,28.81
25.85,27.71,28.38,29.17
24.94,27.87,28.78,29.36
22.19,25.7,27.29,28.82
20.81,25.01,26.93,28.67
20.39,24.96,26.92,28.7
20.7,24.89,26.97,28.82
21.32,24.56,26.51,28.46
22.13,24.48,26.36,28.42
24.1,25.16,26.46,28.15
24.93,25.39,26.16,27.84
25.61,26.27,26.72,28.06
24.56,26.53,27.14,28.39
23.09,26.27,27.64,28.97
21.6,25.64,27.32,28.76
19.92,24.07,26.12,28.03
18.9,23.28,25.39,27.52
